Date,0-0.1,0.1-1,1-10,10-100,"100-1,000","1,000-10,000","10,000-100,000","100,000-1,000,000"
2022-01-17,239872,775197,1705665,4294136,3979805,5198192,2063133,673839
2022-01-18,240089,775632,1705502,4294639,3978118,5215332,2047493,673839
2022-01-19,240096,775750,1706588,4295022,3982208,5230484,2027502,674088
2022-01-20,240152,775879,1706039,4295709,3976145,5261110,2003667,674088
2022-01-21,240311,775931,1705177,4294659,3970361,5294225,1978867,674088
2022-01-22,240304,775160,1704138,4294875,3964041,5251119,2030410,674416
2022-01-23,240550,775233,1704442,4292106,3967120,5233053,2048424,674416
2022-01-24,240724,775463,1704000,4292292,3962323,5252201,2034819,674416
2022-01-25,240954,775864,1702122,4294344,3958399,5266221,2024733,674576
2022-01-26,241434,776363,1701968,4296286,3960504,5255345,2030938,675181
2022-01-27,241437,776739,1702331,4297862,3951710,5290358,2015515,662924
2022-01-28,241544,776747,1702637,4298640,3957321,5286439,2013328,663165
2022-01-29,241522,775479,1698596,4293423,3954583,5270302,2043686,663165
2022-01-30,241389,773497,1693617,4286919,3957102,5265513,2060468,663165
2022-01-31,241246,773190,1693246,4285126,3936840,5261450,2088301,663165
2022-02-01,241208,773473,1689653,4254724,3894366,5248781,2177950,663372
2022-02-02,241017,773562,1690453,4251908,3895225,5251895,2176694,663721
2022-02-03,241203,773959,1691397,4253736,3892623,5260740,2167673,664046
2022-02-04,241730,774630,1692725,4252608,3892644,5269851,2157687,664320
2022-02-05,241745,774590,1691207,4251310,3894079,5259579,2170158,664320
2022-02-06,241380,774495,1691848,4250389,3896550,5255528,2173435,664320
2022-02-07,241655,775282,1693018,4246666,3888253,5280933,2158643,664320
2022-02-08,241254,774919,1692685,4247354,3893179,5290385,2145686,664320
2022-02-09,241053,775246,1693832,4249752,3891596,5288401,2146432,664320
2022-02-10,241107,775485,1693679,4247713,3896997,5314729,2117486,664320
2022-02-11,240919,775832,1695227,4250895,3891062,5309545,2124595,664320
2022-02-12,240021,775972,1696312,4249107,3892682,5319288,2115797,664320
2022-02-13,239868,776132,1695956,4248675,3894220,5318877,2116493,664320
2022-02-14,240028,776686,1696342,4246644,3896669,5307528,2127349,664320
2022-02-15,240011,776927,1695660,4246100,3899230,5294526,2139875,664320
2022-02-16,240223,777415,1695914,4246445,3898769,5295520,2139005,664320
2022-02-17,240184,777476,1695868,4248443,3897032,5291397,2143902,664320
2022-02-18,240483,777966,1696133,4248240,3899627,5286210,2146468,664320
2022-02-19,240687,778327,1698345,4248205,3898424,5281877,2150153,664320
2022-02-20,240964,778916,1698787,4249758,3900914,5277071,2150527,664320
2022-02-21,241173,779542,1699076,4251406,3892742,5292952,2140802,664320
2022-02-22,241292,780316,1700269,4250783,3891871,5291290,2142829,664320
2022-02-23,241646,781120,1701091,4250864,3893096,5291094,2140694,664320
2022-02-24,241967,781673,1702985,4250794,3896366,5255407,2171226,664320
2022-02-25,242138,782097,1703758,4251334,3897754,5273040,2151145,664320
2022-02-26,242308,782566,1704692,4254181,3893599,5272415,2152293,664320
2022-02-27,242680,783641,1706014,4254683,3891900,5274671,2149265,664320
2022-02-28,243069,785131,1707329,4253929,3897656,5268332,2148397,664320
2022-03-01,243527,786256,1709600,4256141,3922047,5243610,2145136,662820
2022-03-02,243290,786564,1710269,4256533,3919788,5254909,2135851,662820
2022-03-03,243408,787083,1711790,4257391,3922505,5242729,2143231,662820
2022-03-04,243461,787421,1711883,4254685,3929538,5252513,2129492,662820
2022-03-05,243731,788270,1713428,4253693,3920759,5254620,2135271,662820
2022-03-06,243936,788587,1713481,4256818,3919829,5252428,2135507,662820
2022-03-07,244151,789306,1714254,4255619,3920794,5251699,2135688,662820
2022-03-08,244312,790308,1715346,4256729,3922426,5255826,2127202,663138
2022-03-09,244745,791404,1718206,4258727,3922705,5262801,2113962,663550
2022-03-10,244729,791557,1718701,4259167,3923569,5260297,2115456,663550
2022-03-11,245200,792551,1720914,4259584,3924884,5263116,2108076,663550
2022-03-12,245354,793048,1720698,4259231,3926853,5251256,2118891,663550
2022-03-13,245516,793280,1721595,4260509,3928634,5249789,2116921,663550
2022-03-14,245811,793902,1721746,4260806,3927185,5244203,2123552,663550
2022-03-15,245956,794135,1722527,4258927,3926510,5232404,2137529,663637
2022-03-16,246024,794412,1722034,4258439,3925912,5247720,2124433,663637
2022-03-17,245996,794250,1722044,4257095,3920630,5253510,2126389,663637
2022-03-18,246196,794526,1722821,4258464,3917249,5261333,2120280,663637
2022-03-19,246202,794561,1723165,4258653,3918031,5248974,2132203,663637
2022-03-20,246426,794967,1723430,4259650,3920034,5246887,2131399,663637
2022-03-21,246710,795167,1723237,4257517,3916515,5257125,2128930,662137
2022-03-22,246833,795425,1724230,4261607,3920732,5251838,2125529,662137
2022-03-23,246710,795514,1724973,4260584,3923870,5250765,2124666,662137
2022-03-24,246729,795810,1725864,4259972,3926753,5237186,2135701,662137
2022-03-25,246792,795916,1725794,4259037,3927796,5221068,2152523,662137
2022-03-26,246855,796025,1726759,4258799,3924135,5222575,2156260,660637
2022-03-27,246962,796354,1727460,4259762,3924383,5222929,2154450,660637
2022-03-28,246938,796755,1727260,4261986,3926737,5232284,2141308,660637
2022-03-29,247181,796992,1727366,4270775,3921033,5241909,2128944,660637
2022-03-30,247418,797351,1728941,4270669,3925093,5226419,2139145,660637
2022-03-31,247965,798025,1730599,4270227,3927012,5224174,2137886,660637
2022-04-01,248027,798386,1732051,4268355,3921817,5229436,2140265,659137
2022-04-02,248083,798746,1733496,4266078,3924205,5229410,2139111,659137
2022-04-03,248192,799144,1736787,4262094,3924602,5230798,2138358,659137
2022-04-04,248405,799964,1739356,4259794,3922029,5217020,2154444,659137
2022-04-05,248822,800520,1740971,4257759,3926123,5202037,2165439,659378
2022-04-06,248994,800759,1741378,4258666,3922265,5208277,2162257,659378
2022-04-07,249123,801063,1740073,4257899,3918938,5203851,2172458,659437
2022-04-08,249585,801584,1741384,4261107,3921433,5197483,2171559,659547
